Date,Open,High,Low,Close,Adj Close,Volume
2008-01-15,40.980000,41.000000,39.799999,39.950001,32.959702,86000
2008-01-16,39.689999,39.689999,37.240002,37.709999,31.111658,138600
2008-01-17,37.580002,38.380001,35.849998,35.889999,29.610107,58700
2008-01-18,34.049999,37.000000,34.049999,36.419998,30.047373,70600
2008-01-22,36.299999,36.299999,32.779999,35.060001,28.925339,25400
2008-01-23,35.919998,35.919998,32.810001,34.580002,28.529329,28100
2008-01-24,35.720001,36.349998,35.000000,36.209999,29.874119,80900
2008-01-25,38.580002,38.939999,38.150002,38.330002,31.623169,111500
2008-01-28,39.750000,40.250000,39.000000,39.919998,32.934948,260700
2008-01-29,41.439999,41.520000,39.990002,40.279999,33.231960,442500
2008-01-30,40.000000,40.250000,39.099998,39.540001,32.621449,202500
2008-01-31,38.000000,40.279999,37.259998,40.200001,33.165966,346800
2008-02-01,40.970001,41.480000,40.000000,41.480000,34.221985,333100
2008-02-04,42.119999,42.240002,41.770000,41.970001,34.626259,322500
2008-02-05,42.250000,42.290001,40.299999,40.480000,33.396961,302100
2008-02-06,41.410000,41.410000,39.820000,39.830002,32.860703,63300
2008-02-07,39.869999,40.910000,39.200001,40.680000,33.561977,255100
2008-02-08,41.099998,41.299999,40.389999,40.900002,33.743484,183200
2008-02-11,40.900002,41.790001,40.520000,41.740002,34.436497,204700
2008-02-12,42.900002,42.900002,40.500000,41.060001,33.875484,446800
2008-02-13,41.790001,42.250000,40.950001,42.200001,34.816010,180300
2008-02-14,42.549999,42.549999,41.500000,41.709999,34.411747,161700
2008-02-15,41.500000,41.599998,40.560001,41.299999,34.073486,270100
2008-02-19,42.610001,43.540001,42.000000,42.810001,35.319271,527400
2008-02-20,43.990002,44.000000,42.000000,44.000000,36.301052,235100
2008-02-21,44.020000,44.020000,42.200001,42.389999,34.972759,400100
2008-02-22,43.299999,44.400002,41.599998,43.439999,35.839043,166600
2008-02-25,43.250000,44.500000,42.259998,44.200001,36.466057,300200
2008-02-26,44.200001,44.750000,43.480000,44.200001,36.466057,286800
2008-02-27,44.200001,44.619999,43.599998,44.410000,36.639317,323100
2008-02-28,44.369999,44.619999,43.750000,44.240002,36.499058,164900
2008-02-29,44.000000,44.029999,42.099998,42.299999,34.898518,211300
2008-03-03,42.470001,43.270000,42.099998,43.270000,35.698784,246400
2008-03-04,43.000000,43.000000,40.000000,41.150002,33.949741,298300
2008-03-05,41.750000,41.990002,41.040001,41.849998,34.527252,142200
2008-03-06,42.040001,42.450001,41.500000,41.639999,34.354000,109400
2008-03-07,41.500000,41.500000,39.060001,39.759998,32.802952,422500
2008-03-10,39.570000,39.650002,37.450001,37.450001,30.897144,469500
2008-03-11,38.500000,40.000000,37.450001,39.900002,32.918453,321500
2008-03-12,40.000000,40.009998,39.099998,39.520000,32.604946,86700
2008-03-13,37.820000,39.980000,37.810001,39.900002,32.918453,107200
2008-03-14,40.000000,40.060001,37.900002,38.680000,31.911926,204100
2008-03-17,37.049999,37.400002,35.500000,36.000000,29.700863,302500
2008-03-18,37.500000,38.349998,36.250000,38.200001,31.515915,113800
2008-03-19,38.000000,38.000000,34.599998,34.880001,28.776838,161900
2008-03-20,34.500000,35.000000,32.590000,34.529999,28.488075,400300
2008-03-24,34.669998,36.959999,34.669998,36.580002,30.179375,133200
2008-03-25,36.799999,37.480000,36.200001,37.400002,30.855892,176100
2008-03-26,37.889999,38.250000,37.400002,38.230000,31.540663,109800
2008-03-27,38.900002,38.900002,37.660000,37.900002,31.268406,161200
2008-03-28,38.599998,38.799999,38.119999,38.299999,31.598413,60700
2008-03-31,38.000000,38.380001,37.450001,38.150002,31.474669,71700
2008-04-01,37.259998,38.400002,37.200001,38.299999,31.598413,69900
2008-04-02,38.000000,38.380001,37.799999,38.130001,31.458166,93100
2008-04-03,38.200001,39.450001,37.980000,39.000000,32.175930,273100
2008-04-04,39.650002,41.360001,39.639999,40.889999,33.735226,278900
2008-04-07,42.000000,42.919998,40.700001,40.950001,33.784733,478300
2008-04-08,40.580002,42.099998,40.400002,41.889999,34.560249,191600
2008-04-09,41.889999,41.889999,40.830002,41.169998,33.966240,173800
2008-04-10,41.599998,42.230000,40.810001,42.000000,34.651012,296000
2008-04-11,41.889999,42.060001,40.889999,41.189999,33.982735,158600
2008-04-14,40.680000,41.830002,40.680000,41.639999,34.354000,68700
2008-04-15,42.029999,42.490002,41.520000,42.169998,34.791264,134000
2008-04-16,42.500000,44.150002,42.500000,44.000000,36.301052,263100
2008-04-17,43.779999,44.200001,43.240002,43.860001,36.185555,165500
2008-04-18,44.540001,44.930000,44.000000,44.930000,37.068321,281000
2008-04-21,45.299999,46.000000,45.000000,45.919998,37.885098,321400
2008-04-22,46.480000,46.490002,44.840000,45.250000,37.332333,452300
2008-04-23,46.389999,46.389999,45.139999,45.500000,37.538593,300600
2008-04-24,45.400002,45.400002,43.959999,44.840000,36.994072,265400
2008-04-25,44.700001,45.549999,44.080002,45.119999,37.225079,107100
2008-04-28,46.279999,46.279999,45.090000,45.689999,37.695343,142000
2008-04-29,45.790001,45.790001,43.860001,44.150002,36.424805,306700
2008-04-30,43.650002,44.910000,43.500000,44.410000,36.639317,152900
2008-05-01,43.950001,44.270000,42.230000,43.119999,35.575031,295700
2008-05-02,43.009998,45.340000,43.009998,45.250000,37.332333,197600
2008-05-05,45.990002,47.139999,45.509998,46.849998,38.652367,369000
2008-05-06,46.840000,47.990002,46.750000,47.950001,39.559891,223100
2008-05-07,48.580002,48.580002,46.500000,46.599998,38.446114,211300
2008-05-08,47.880001,48.500000,47.250000,48.500000,40.013660,182600
2008-05-09,48.889999,48.889999,47.259998,48.049999,39.642399,233200
2008-05-12,48.660000,48.790001,47.259998,48.139999,39.716656,122600
2008-05-13,48.360001,49.520000,48.080002,49.430000,40.780941,265500
2008-05-14,49.599998,49.849998,48.619999,48.619999,40.112663,218800
2008-05-15,48.700001,50.480000,48.660000,50.349998,41.539955,234700
2008-05-16,51.320000,51.869999,51.020000,51.660000,42.620735,409400
2008-05-19,52.330002,53.959999,51.509998,51.970001,42.876488,605300
2008-05-20,52.020000,52.290001,51.250000,52.160000,43.033241,282100
2008-05-21,52.889999,53.919998,52.160000,52.240002,43.099251,584800
2008-05-22,53.619999,53.630001,52.000000,52.189999,43.057991,608500
2008-05-23,52.599998,52.700001,50.610001,51.720001,42.670246,330100
2008-05-27,51.000000,51.060001,50.000000,50.000000,41.251194,610800
2008-05-28,50.500000,53.049999,50.439999,53.049999,43.767521,296200
2008-05-29,53.230000,53.240002,52.000000,52.430000,43.256008,395100
2008-05-30,53.130001,54.330002,52.820000,54.200001,44.716301,322200
2008-06-02,54.250000,55.950001,54.000000,55.540001,45.821823,623800
2008-06-03,56.139999,56.139999,53.820000,54.950001,45.335064,688300
2008-06-04,54.689999,54.700001,52.669998,53.000000,43.726269,492600
2008-06-05,52.810001,55.000000,52.810001,55.000000,45.376316,270100
2008-06-06,55.689999,56.279999,54.459999,54.459999,44.930801,460200
2008-06-09,55.599998,56.470001,54.919998,56.139999,46.316849,318200
2008-06-10,56.000000,56.040001,53.610001,54.500000,44.963810,452400
2008-06-11,55.000000,55.330002,53.750000,54.400002,44.881298,356500
2008-06-12,54.869999,55.349998,54.000000,54.459999,44.930801,185000
2008-06-13,54.490002,55.750000,54.049999,55.750000,45.995083,374100
2008-06-16,56.480000,56.709999,56.049999,56.459999,46.580856,503900
2008-06-17,57.139999,57.759998,56.619999,57.349998,47.315121,527100
2008-06-18,57.500000,58.759998,56.750000,58.580002,48.329903,523700
2008-06-19,59.720001,60.299999,57.509998,58.160000,47.983391,912200
2008-06-20,58.490002,58.509998,56.560001,57.400002,47.356373,843900
2008-06-23,57.900002,58.250000,57.200001,58.000000,47.851387,455800
2008-06-24,58.090000,58.099998,56.419998,57.080002,47.092365,605100
2008-06-25,57.590000,57.599998,54.490002,57.270000,47.249123,1039100
2008-06-26,57.090000,57.090000,53.599998,55.830002,46.061085,1019000
2008-06-27,54.790001,56.900002,54.790001,56.900002,46.943859,407100
2008-06-30,57.500000,58.500000,57.000000,58.000000,47.851387,538000
2008-07-01,58.000000,58.000000,56.389999,57.900002,47.768890,516900
2008-07-02,57.029999,57.529999,51.450001,52.070000,42.958996,2839000
2008-07-03,51.049999,51.240002,47.200001,49.110001,40.516926,2289500
2008-07-07,49.189999,51.849998,48.750000,50.529999,41.688454,878400
2008-07-08,50.279999,50.279999,47.400002,49.889999,41.160446,1338400
2008-07-09,51.000000,52.099998,49.750000,50.099998,41.333694,1031100
2008-07-10,50.500000,51.490002,48.540001,51.490002,42.480480,361500
2008-07-11,51.490002,53.000000,50.650002,53.000000,43.726269,475600
2008-07-14,53.790001,53.959999,52.410000,53.290001,43.965523,544100
2008-07-15,52.450001,52.689999,50.060001,51.049999,42.117474,523100
2008-07-16,53.000000,53.139999,49.450001,51.820000,42.752743,727000
2008-07-17,50.040001,51.660000,46.250000,47.500000,39.188641,932900
2008-07-18,47.349998,48.090000,45.650002,46.250000,38.157360,1149500
2008-07-21,46.540001,49.849998,45.830002,49.849998,41.127445,757300
2008-07-22,48.860001,49.299999,47.310001,48.270000,39.823910,287200
2008-07-23,47.060001,48.189999,45.060001,46.009998,37.959354,1083200
2008-07-24,45.799999,46.669998,42.900002,44.450001,36.672321,1616800
2008-07-25,45.060001,47.779999,44.919998,47.770000,39.411392,1186200
2008-07-28,48.470001,49.000000,47.360001,47.820000,39.452641,826100
2008-07-29,48.930000,49.110001,47.099998,48.330002,39.873417,820500
2008-07-30,48.889999,51.599998,47.939999,51.599998,42.571239,637200
2008-07-31,50.599998,51.099998,48.820000,49.220001,40.607681,631600
2008-08-01,49.849998,49.849998,47.270000,47.610001,39.279392,1052600
2008-08-04,47.000000,47.599998,42.610001,43.200001,35.641037,807800
2008-08-05,42.009998,43.639999,40.959999,42.590000,35.137772,1294800
2008-08-06,41.860001,44.459999,41.860001,43.750000,36.094799,625000
2008-08-07,43.820000,44.430000,42.590000,42.610001,35.154270,495600
2008-08-08,42.020000,42.860001,41.200001,42.540001,35.096523,323400
2008-08-11,41.869999,42.400002,39.770000,40.549999,33.454716,706500
2008-08-12,40.549999,40.990002,39.759998,40.029999,33.025703,375800
2008-08-13,39.950001,42.779999,39.779999,42.240002,34.849010,718500
2008-08-14,41.750000,42.590000,41.279999,42.380001,34.964512,554400
2008-08-15,42.099998,42.099998,40.570000,41.540001,34.271492,349800
2008-08-18,41.500000,42.160000,40.759998,41.150002,33.949741,227600
2008-08-19,40.509998,43.099998,40.500000,42.720001,35.245026,576600
2008-08-20,43.480000,44.099998,42.450001,44.099998,36.383556,401400
2008-08-21,44.580002,46.480000,44.380001,46.250000,38.157360,1094600
2008-08-22,45.770000,45.900002,44.299999,44.630001,36.820824,709300
2008-08-25,44.680000,45.459999,42.860001,43.549999,35.929794,860100
2008-08-26,44.000000,44.709999,43.509998,44.020000,36.317558,241000
2008-08-27,45.689999,45.740002,44.660000,45.250000,37.332333,274000
2008-08-28,46.060001,46.200001,44.020000,45.689999,37.695343,831000
2008-08-29,46.279999,46.560001,45.150002,45.380001,37.439590,241100
2008-09-02,43.980000,44.000000,41.099998,41.770000,34.461250,829800
2008-09-03,40.820000,41.380001,38.279999,38.799999,32.010925,1070200
2008-09-04,38.490002,39.759998,36.330002,37.160000,30.657894,1634000
2008-09-05,36.639999,37.700001,35.650002,37.599998,31.020901,1354400
2008-09-08,38.799999,39.000000,34.799999,35.369999,29.181091,905600
2008-09-09,34.750000,34.990002,31.790001,31.950001,26.359514,1417700
2008-09-10,32.500000,34.000000,31.940001,32.910000,27.151535,1120000
2008-09-11,32.119999,34.279999,31.280001,34.139999,28.166317,780000
2008-09-12,34.790001,35.799999,34.000000,35.470001,29.263597,810200
2008-09-15,32.250000,33.500000,31.000000,31.780001,26.219261,990200
2008-09-16,30.000000,32.720001,28.190001,32.080002,26.466768,1575800
2008-09-17,32.029999,32.669998,29.500000,30.879999,25.476738,949400
2008-09-18,31.320000,32.549999,29.500000,31.850000,26.277016,660100
2008-09-19,34.119999,37.500000,33.200001,37.439999,30.888897,773800
2008-09-22,37.549999,38.150002,34.860001,35.000000,28.875841,866700
2008-09-23,34.349998,35.180000,32.900002,33.590000,27.712553,407400
2008-09-24,34.000000,34.410000,32.700001,32.869999,27.118536,189400
2008-09-25,33.000000,33.790001,32.130001,32.790001,27.052534,194700
2008-09-26,31.799999,32.180000,30.690001,31.870001,26.293512,472900
2008-09-29,30.639999,30.639999,25.709999,27.190001,22.432405,1010600
2008-09-30,27.750000,29.870001,27.000000,29.440001,24.288706,685200
2008-10-01,29.440001,29.440001,26.799999,27.750000,22.894415,337400
2008-10-02,27.049999,27.160000,25.020000,25.200001,20.790604,548100
2008-10-03,25.340000,26.950001,24.299999,24.330000,20.072832,521900
2008-10-06,22.020000,22.500000,19.900000,22.010000,18.158779,1265900
2008-10-07,22.889999,23.420000,19.980000,20.059999,16.549980,763600
2008-10-08,18.860001,21.200001,18.340000,20.070000,16.558231,750000
2008-10-09,20.750000,21.570000,17.559999,18.080000,14.916435,553200
2008-10-10,15.020000,19.000000,15.000000,19.000000,15.675454,630100
2008-10-13,20.260000,21.000000,18.940001,20.799999,17.160498,871300
2008-10-14,22.379999,22.700001,19.809999,19.969999,16.475727,678500
2008-10-15,18.510000,19.360001,16.850000,16.900000,13.942904,404000
2008-10-16,18.320000,18.750000,16.360001,18.469999,15.238191,565400
2008-10-17,18.389999,20.500000,17.309999,18.790001,15.502202,746800
2008-10-20,19.320000,20.740000,19.100000,20.629999,17.020243,518400
2008-10-21,20.389999,21.000000,19.389999,21.000000,17.325506,492500
2008-10-22,19.100000,20.000000,16.500000,17.230000,14.215161,928800
2008-10-23,17.230000,17.549999,15.530000,16.490000,13.604644,599100
2008-10-24,14.990000,17.469999,14.210000,15.000000,12.375359,770800
2008-10-27,14.320000,15.220000,13.690000,13.920000,11.484335,489200
2008-10-28,14.650000,15.130000,13.060000,15.110000,12.466109,563300
2008-10-29,15.110000,17.490000,15.110000,16.200001,13.365389,1033300
2008-10-30,17.500000,18.950001,16.420000,17.540001,14.470921,410400
2008-10-31,16.600000,18.750000,16.600000,18.209999,15.023686,448900
2008-11-03,18.600000,18.950001,17.020000,18.040001,14.883431,322500
2008-11-04,18.799999,19.830000,18.400000,19.379999,15.988963,529100
2008-11-05,19.990000,19.990000,17.219999,17.410000,14.363665,448800
2008-11-06,17.000000,17.010000,15.160000,15.340000,12.655869,554900
2008-11-07,15.500000,16.420000,15.430000,16.010000,13.208632,206400
2008-11-10,17.370001,17.469999,16.000000,16.590000,13.687147,295100
2008-11-11,16.000000,16.040001,15.120000,15.510000,12.796121,171500
2008-11-12,15.100000,15.250000,13.790000,13.920000,11.484335,441100
2008-11-13,13.710000,16.000000,13.500000,15.900000,13.117881,421600
2008-11-14,15.180000,15.320000,14.280000,14.560000,12.012348,313000
2008-11-17,13.900000,14.320000,13.520000,13.520000,11.154324,342100
2008-11-18,13.250000,13.770000,12.280000,12.560000,10.362300,926000
2008-11-19,12.840000,12.840000,11.090000,11.100000,9.157765,680900
2008-11-20,10.980000,10.980000,9.430000,9.770000,8.060484,573500
2008-11-21,10.210000,11.220000,10.210000,11.140000,9.190765,709000
2008-11-24,12.000000,12.500000,11.310000,12.500000,10.312799,770300
2008-11-25,12.500000,12.700000,11.800000,12.600000,10.395302,319300
2008-11-26,12.500000,13.940000,12.500000,13.890000,11.459583,363800
2008-11-28,14.000000,14.000000,13.430000,13.840000,11.418332,98500
2008-12-01,13.000000,13.430000,11.570000,11.600000,9.570278,394200
2008-12-02,12.000000,12.650000,11.950000,12.460000,10.279799,306200
2008-12-03,12.250000,12.850000,11.740000,12.520000,10.329300,530900
2008-12-04,12.040000,12.680000,11.400000,11.720000,9.669282,416700
2008-12-05,11.660000,12.310000,11.010000,12.290000,10.139544,307600
2008-12-08,13.340000,14.200000,13.220000,13.810000,11.393580,597000
2008-12-09,13.500000,14.810000,13.500000,13.960000,11.517334,552300
2008-12-10,14.860000,15.720000,14.850000,15.600000,12.870375,450100
2008-12-11,15.740000,16.490000,14.940000,15.220000,12.556864,1037000
2008-12-12,14.750000,15.060000,14.030000,14.790000,12.202105,423000
2008-12-15,15.200000,15.500000,14.500000,14.690000,12.119601,329800
2008-12-16,15.040000,15.820000,14.710000,15.640000,12.903375,508100
2008-12-17,16.000000,16.280001,15.470000,15.870000,13.093130,439200
2008-12-18,16.280001,16.280001,14.350000,14.450000,11.921595,404800
2008-12-19,14.090000,14.950000,13.600000,14.720000,12.144353,334600
2008-12-22,14.470000,14.710000,13.370000,13.540000,11.170826,378300
2008-12-23,13.340000,13.850000,13.340000,13.680000,11.286327,171800
2008-12-24,13.990000,14.720000,13.400000,13.660000,11.269826,90900
2008-12-26,13.500000,14.100000,13.500000,13.980000,11.610330,444600
2008-12-29,14.130000,14.400000,13.570000,13.650000,11.336267,662300
2008-12-30,13.930000,14.000000,13.570000,13.980000,11.610330,512500
2008-12-31,13.910000,14.910000,13.910000,14.890000,12.366082,507100
2009-01-02,15.740000,16.320000,14.740000,16.270000,13.512166,506400
2009-01-05,16.020000,17.350000,16.020000,16.930000,14.060293,864200
2009-01-06,17.480000,17.990000,17.010000,17.629999,14.641639,966600
2009-01-07,17.209999,17.209999,15.680000,15.770000,13.096917,520900
2009-01-08,15.500000,16.240000,15.280000,16.240000,13.487250,330600
2009-01-09,16.200001,17.139999,15.420000,15.530000,12.897599,217900
2009-01-12,15.140000,15.360000,13.940000,13.980000,11.610330,482000
2009-01-13,14.160000,14.510000,13.750000,14.380000,11.942530,334900
2009-01-14,14.130000,14.130000,13.400000,13.690000,11.369487,256500
2009-01-15,13.460000,13.910000,12.800000,13.610000,11.303045,503400
2009-01-16,14.090000,14.370000,13.370000,13.860000,11.510671,194900
2009-01-20,13.590000,13.730000,12.640000,12.700000,10.547297,298100
2009-01-21,12.870000,13.770000,12.770000,13.690000,11.369487,254600
2009-01-22,13.430000,13.560000,12.690000,13.050000,10.837969,388300
2009-01-23,12.660000,13.740000,12.510000,13.290000,11.037287,223000
2009-01-26,13.280000,13.850000,13.030000,13.200000,10.962543,405900
2009-01-27,13.600000,13.990000,13.510000,13.830000,11.485755,553400
2009-01-28,14.410000,14.750000,14.080000,14.430000,11.984054,362800
2009-01-29,14.490000,14.490000,13.850000,13.860000,11.510671,209000
2009-01-30,13.950000,14.210000,13.410000,13.490000,11.203386,161000
2009-02-02,13.240000,13.590000,13.020000,13.380000,11.112034,220200
2009-02-03,13.400000,13.900000,13.400000,13.900000,11.543890,106600
2009-02-04,14.140000,14.400000,13.750000,13.930000,11.568806,358500
2009-02-05,14.040000,14.780000,13.810000,14.620000,12.141846,195700
2009-02-06,14.630000,15.750000,14.630000,15.420000,12.806245,428400
2009-02-09,15.650000,16.219999,15.440000,15.710000,13.047088,446600
2009-02-10,15.500000,16.059999,14.520000,14.700000,12.208285,313900
2009-02-11,15.000000,15.300000,14.300000,14.700000,12.208285,263100
2009-02-12,14.440000,14.730000,14.010000,14.610000,12.133542,211000
2009-02-13,14.310000,15.180000,14.310000,14.800000,12.291338,201200
2009-02-17,14.000000,14.340000,13.100000,13.230000,10.987457,531900
2009-02-18,13.120000,13.480000,12.870000,13.080000,10.862885,208300
2009-02-19,13.300000,13.650000,12.920000,13.180000,10.945934,187100
2009-02-20,12.660000,13.160000,12.570000,12.960000,10.763226,298700
2009-02-23,13.160000,13.390000,12.110000,12.110000,10.057302,185400
2009-02-24,12.110000,13.140000,12.080000,12.970000,10.771530,158000
2009-02-25,12.630000,13.130000,12.500000,12.610000,10.472550,186600
2009-02-26,12.900000,13.200000,12.440000,12.530000,10.406112,228400
2009-02-27,12.160000,12.820000,12.000000,12.450000,10.339673,122400
2009-03-02,12.010000,12.260000,10.880000,11.030000,9.160368,400700
2009-03-03,11.160000,11.560000,10.880000,11.300000,9.384601,395800
2009-03-04,11.850000,12.620000,11.850000,12.300000,10.215097,276900
2009-03-05,12.150000,12.250000,11.570000,11.840000,9.833071,250800
2009-03-06,12.130000,12.240000,11.300000,11.620000,9.650360,164100
2009-03-09,11.280000,12.180000,11.280000,11.630000,9.658664,190900
2009-03-10,12.080000,12.740000,12.080000,12.680000,10.530686,223200
2009-03-11,12.650000,13.000000,12.310000,12.510000,10.389501,281100
2009-03-12,12.290000,13.090000,12.200000,13.050000,10.837969,144500
2009-03-13,13.400000,13.620000,12.690000,12.840000,10.663566,163600
2009-03-16,13.190000,13.590000,13.010000,13.070000,10.854579,171800
2009-03-17,12.890000,13.400000,12.740000,13.400000,11.128642,120000
2009-03-18,13.460000,13.950000,12.940000,13.710000,11.386096,126800
2009-03-19,13.570000,14.960000,13.570000,14.500000,12.042189,527600
2009-03-20,14.650000,14.650000,13.800000,13.920000,11.560501,365300
2009-03-23,14.940000,15.200000,14.280000,15.190000,12.615230,184800
2009-03-24,14.850000,15.480000,14.600000,15.110000,12.548788,259800
2009-03-25,15.420000,15.430000,14.250000,14.570000,12.100323,315200
2009-03-26,15.110000,15.500000,15.000000,15.320000,12.723195,346800
2009-03-27,15.030000,15.130000,14.780000,14.840000,12.324557,277700
2009-03-30,14.370000,14.370000,13.510000,13.750000,11.419316,258400
2009-03-31,14.660000,14.660000,13.640000,13.640000,11.327963,271100
2009-04-01,13.960000,14.440000,13.260000,14.250000,11.834564,248000
2009-04-02,15.100000,15.250000,14.750000,14.920000,12.390996,326700
2009-04-03,14.990000,15.700000,14.970000,15.680000,13.022172,273300
2009-04-06,15.690000,15.700000,15.210000,15.540000,12.905902,160900
2009-04-07,15.290000,15.350000,14.900000,15.030000,12.482349,380100
2009-04-08,15.070000,15.310000,14.770000,15.140000,12.573705,160700
2009-04-09,15.500000,16.000000,15.500000,15.990000,13.279626,128500
2009-04-13,15.930000,16.520000,15.700000,16.379999,13.603520,190200
2009-04-14,16.379999,17.150000,16.379999,16.680000,13.852668,233400
2009-04-15,16.650000,16.709999,16.330000,16.660000,13.836059,302600
2009-04-16,16.900000,17.420000,16.379999,16.580000,13.769619,199300
2009-04-17,16.570000,16.680000,16.299999,16.410000,13.628435,287900
2009-04-20,16.379999,16.400000,15.830000,15.920000,13.221493,272900
2009-04-21,15.830000,16.469999,15.450000,16.280001,13.520471,147200
2009-04-22,15.680000,16.530001,15.580000,16.180000,13.437420,159700
2009-04-23,16.219999,16.670000,16.200001,16.459999,13.669959,189500
2009-04-24,16.709999,17.250000,16.709999,16.900000,14.035378,195600
2009-04-27,16.590000,16.799999,16.360001,16.510000,13.711485,120600
2009-04-28,16.129999,16.309999,15.930000,16.240000,13.487250,107000
2009-04-29,16.490000,17.530001,16.490000,17.400000,14.450624,315400
2009-04-30,17.570000,17.980000,17.280001,17.709999,14.708079,258500
2009-05-01,17.510000,19.230000,17.510000,19.010000,15.787723,452400
2009-05-04,19.830000,21.400000,19.500000,21.340000,17.722776,1185900
2009-05-05,21.219999,21.410000,20.459999,21.090000,17.515154,969100
2009-05-06,21.570000,22.629999,21.350000,22.410000,18.611408,977900
2009-05-07,23.049999,23.200001,21.430000,21.730000,18.046671,750300
2009-05-08,22.250000,23.000000,21.969999,22.850000,18.976826,358400
2009-05-11,22.040001,22.850000,21.410000,21.660000,17.988539,364300
2009-05-12,22.570000,22.889999,21.059999,21.980000,18.254297,670800
2009-05-13,21.760000,21.760000,20.760000,20.820000,17.290918,453500
2009-05-14,20.459999,21.240000,19.990000,20.879999,17.340748,540400
2009-05-15,20.580000,21.090000,20.070000,20.240000,16.809231,243000
2009-05-18,21.150000,22.350000,20.850000,22.230000,18.461920,345200
2009-05-19,22.430000,23.200001,22.350000,22.629999,18.794115,584700
2009-05-20,23.190001,24.000000,22.780001,22.830000,18.960220,605500
2009-05-21,22.360001,22.500000,21.180000,21.700001,18.021759,573800
2009-05-22,22.320000,22.379999,21.719999,22.180000,18.420393,271800
2009-05-26,21.510000,22.530001,21.290001,22.459999,18.652935,335100
2009-05-27,22.830000,23.559999,22.750000,22.879999,19.001741,461800
2009-05-28,23.240000,23.559999,22.530001,23.309999,19.358858,389000
2009-05-29,23.990000,24.299999,23.540001,23.969999,19.906982,588500
2009-06-01,25.490000,26.110001,25.059999,25.840000,21.460011,794000
2009-06-02,25.719999,26.040001,24.959999,25.209999,20.936796,764800
