Date,Open,High,Low,Close,Adj Close,Volume
2007-08-15,114.750000,115.500000,113.309998,113.489998,73.900772,17000
2007-08-16,109.800003,110.699997,105.959999,108.750000,70.814247,16300
2007-08-17,107.400002,109.410004,107.190002,108.989998,70.970520,44000
2007-08-20,110.699997,110.940002,109.529999,110.669998,72.064491,7800
2007-08-21,111.300003,111.540001,110.730003,111.419998,72.552864,23300
2007-08-22,112.440002,114.690002,112.080002,114.449997,74.525894,16600
2007-08-23,117.750000,118.199997,115.860001,116.790001,76.049614,16700
2007-08-24,116.400002,118.379997,116.279999,118.199997,76.967758,12700
2007-08-27,119.040001,119.220001,118.529999,118.529999,77.182640,17900
2007-08-28,116.610001,116.699997,115.260002,115.800003,75.404961,7500
2007-08-29,114.389999,114.750000,113.699997,114.720001,74.701706,20300
2007-08-30,113.190002,114.300003,112.800003,114.180000,74.350082,7500
2007-08-31,115.290001,115.949997,114.900002,115.949997,75.502647,4300
2007-09-04,117.660004,118.349998,117.629997,118.349998,77.065430,16000
2007-09-05,116.879997,118.349998,114.000000,114.000000,74.232864,23400
2007-09-06,114.000000,114.750000,113.940002,114.750000,74.721237,14900
2007-09-07,113.639999,113.699997,113.129997,113.160004,73.685890,12300
2007-09-10,112.440002,112.500000,111.120003,111.120003,72.357506,8600
2007-09-11,111.419998,113.250000,111.419998,113.250000,73.744476,12100
2007-09-12,112.800003,114.599998,112.169998,114.599998,74.623566,23200
2007-09-13,114.599998,117.599998,114.510002,117.000000,76.186371,51200
2007-09-14,116.339996,117.900002,116.160004,117.599998,76.577072,33500
2007-09-17,117.720001,117.900002,116.820000,117.150002,76.284019,11100
2007-09-18,117.300003,119.400002,117.209999,119.400002,77.749161,23900
2007-09-19,121.050003,121.349998,119.669998,119.699997,77.944504,42700
2007-09-20,119.940002,120.000000,119.279999,119.400002,77.749161,12700
2007-09-21,120.599998,121.800003,120.120003,121.650002,79.214287,14100
2007-09-24,122.580002,122.699997,121.800003,121.889999,79.370552,21100
2007-09-25,120.690002,121.139999,119.879997,120.150002,78.237534,16900
2007-09-26,122.400002,124.500000,121.889999,123.900002,80.679405,44700
2007-09-27,126.059998,126.300003,125.550003,126.150002,82.144539,22400
2007-09-28,126.900002,127.139999,126.449997,126.900002,82.632896,32000
2007-10-01,124.680000,125.370003,123.959999,124.949997,81.363113,49400
2007-10-02,123.449997,123.449997,121.290001,121.919998,79.390091,13600
2007-10-03,122.099998,122.250000,120.300003,120.809998,78.667305,15500
2007-10-04,120.239998,120.540001,119.400002,120.360001,78.374275,29900
2007-10-05,121.500000,122.849998,120.480003,122.550003,79.800331,22700
2007-10-08,123.150002,123.150002,121.500000,121.500000,79.116608,13400
2007-10-09,122.400002,123.900002,122.099998,123.900002,80.679405,48300
2007-10-10,124.080002,124.139999,123.449997,123.720001,80.562195,12500
2007-10-11,124.199997,124.500000,122.309998,122.400002,79.702652,66700
2007-10-12,122.400002,123.900002,122.400002,123.629997,80.503586,20100
2007-10-15,127.500000,128.100006,126.870003,127.139999,82.789185,32900
2007-10-16,125.040001,125.099998,123.629997,124.500000,81.070107,26100
2007-10-17,125.699997,125.790001,123.389999,124.199997,80.874748,29700
2007-10-18,124.800003,126.750000,124.199997,126.750000,82.535225,20000
2007-10-19,127.169998,127.169998,124.139999,124.470001,81.050575,18000
2007-10-22,120.480003,122.820000,109.139999,121.470001,79.097069,55300
2007-10-23,124.080002,125.699997,123.449997,125.699997,81.851479,32200
2007-10-24,125.669998,126.000000,123.599998,125.070000,81.441269,21900
2007-10-25,127.019997,127.379997,126.150002,127.320000,82.906387,38000
2007-10-26,129.240005,129.720001,128.460007,129.720001,84.469185,23100
2007-10-29,131.699997,135.000000,130.470001,133.050003,86.637550,49500
2007-10-30,133.199997,133.320007,132.419998,132.570007,86.325012,18600
2007-10-31,132.509995,133.949997,131.460007,133.259995,86.774307,28100
2007-11-01,131.039993,132.449997,130.529999,130.860001,85.211525,16400
2007-11-02,132.750000,133.949997,131.339996,133.559998,86.969658,19100
2007-11-05,133.410004,133.410004,131.190002,132.330002,86.168732,27900
2007-11-06,134.250000,134.399994,133.380005,134.250000,87.418968,28400
2007-11-07,133.919998,134.100006,128.880005,129.720001,84.469185,47000
2007-11-08,131.190002,131.190002,125.820000,127.949997,83.316620,85600
2007-11-09,127.500000,127.500000,123.000000,125.220001,81.538940,90500
2007-11-12,126.300003,126.300003,116.879997,118.019997,76.850555,32200
2007-11-13,116.099998,121.800003,116.099998,121.650002,79.214287,20800
2007-11-14,121.110001,123.419998,120.870003,121.110001,78.862648,25200
2007-11-15,118.949997,120.000000,117.300003,118.169998,76.948219,35700
2007-11-16,119.940002,119.940002,116.250000,118.650002,77.260780,37000
2007-11-19,117.000000,117.389999,113.190002,114.269997,74.408676,22200
2007-11-20,114.000000,116.849998,113.970001,115.589996,75.268211,13800
2007-11-21,115.650002,115.650002,111.809998,112.320000,73.138908,33600
2007-11-23,114.120003,115.019997,113.220001,115.019997,74.897041,12800
2007-11-26,116.160004,117.900002,113.550003,113.910004,74.174263,18700
2007-11-27,115.650002,115.650002,111.750000,112.889999,73.510071,14400
2007-11-28,114.660004,116.970001,114.000000,116.519997,75.873802,13600
2007-11-29,120.029999,120.029999,115.830002,116.489998,75.854263,8500
2007-11-30,122.309998,122.309998,116.010002,116.879997,76.108223,15200
2007-12-03,119.760002,119.760002,115.199997,116.040001,75.561241,14400
2007-12-04,114.750000,114.779999,112.589996,112.620003,73.334251,9800
2007-12-05,116.010002,116.010002,114.360001,115.529999,75.229149,10900
2007-12-06,118.260002,118.260002,115.559998,117.209999,76.323112,21100
2007-12-07,117.809998,119.099998,117.809998,118.889999,77.417061,16800
2007-12-10,117.089996,119.400002,117.089996,119.400002,77.749161,15000
2007-12-11,119.970001,120.269997,116.639999,117.300003,76.381714,23700
2007-12-12,120.000000,120.000000,116.400002,117.000000,76.186371,16400
2007-12-13,115.320000,117.000000,114.029999,115.019997,74.897041,17300
2007-12-14,114.239998,114.239998,111.930000,112.410004,73.197517,16600
2007-12-17,111.839996,111.839996,107.400002,108.000000,70.325874,40600
2007-12-18,109.320000,111.000000,106.919998,109.320000,71.185410,57600
2007-12-19,109.199997,110.250000,108.870003,109.739998,71.458900,9800
2007-12-20,110.400002,110.430000,108.779999,110.309998,71.830063,20000
2007-12-21,110.550003,112.650002,110.550003,112.620003,73.334251,18900
2007-12-24,111.629997,114.570000,108.000000,108.599998,74.580696,26600
2007-12-26,111.000000,111.000000,107.550003,108.029999,74.189255,13200
2007-12-27,108.000000,108.629997,107.190002,107.190002,73.612389,12400
2007-12-28,108.449997,108.449997,104.730003,107.790001,74.024452,47400
2007-12-31,108.269997,108.269997,106.320000,106.800003,73.344559,19200
