Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,55.630001,56.270000,55.270000,56.160000,56.160000,9100
2010-01-05,55.810001,55.830002,54.090000,54.520000,54.520000,25500
2010-01-06,56.000000,56.730000,55.650002,56.459999,56.459999,14300
2010-01-07,56.230000,57.000000,55.299999,55.669998,55.669998,22500
2010-01-08,54.490002,55.080002,54.490002,54.939999,54.939999,15200
2010-01-11,53.930000,53.930000,52.200001,53.110001,53.110001,29800
2010-01-12,53.270000,53.889999,53.000000,53.770000,53.770000,55100
2010-01-13,53.160000,55.349998,52.660000,55.110001,55.110001,22200
2010-01-14,55.340000,55.500000,53.250000,54.060001,54.060001,35600
2010-01-15,55.090000,55.090000,54.599998,54.889999,54.889999,12100
2010-01-19,53.900002,54.610001,53.230000,53.779999,53.779999,22100
2010-01-20,53.470001,53.500000,53.220001,53.360001,53.360001,10700
2010-01-21,54.400002,55.000000,53.380001,53.840000,53.840000,50000
2010-01-22,54.889999,55.509998,54.650002,54.910000,54.910000,7800
2010-01-25,54.570000,55.279999,54.410000,54.410000,54.410000,6000
2010-01-26,53.490002,53.490002,52.759998,52.830002,52.830002,9900
2010-01-27,52.340000,52.340000,51.000000,51.480000,51.480000,24000
2010-01-28,51.070000,51.090000,50.560001,50.860001,50.860001,11900
2010-01-29,51.490002,51.639999,50.490002,50.490002,50.490002,7400
2010-02-01,52.150002,52.790001,52.090000,52.660000,52.660000,7600
2010-02-02,52.590000,53.549999,52.590000,53.150002,53.150002,9500
2010-02-03,53.709999,53.709999,52.389999,52.389999,52.389999,6900
2010-02-04,52.610001,52.880001,51.220001,52.849998,52.849998,19000
2010-02-05,53.599998,53.759998,52.709999,53.410000,53.410000,12000
2010-02-08,54.220001,54.220001,52.630001,52.650002,52.650002,10800
2010-02-09,52.450001,52.450001,51.560001,51.820000,51.820000,34300
2010-02-10,52.200001,52.200001,51.500000,51.860001,51.860001,13900
2010-02-11,52.520000,52.549999,51.820000,52.549999,52.549999,9800
2010-02-12,52.200001,53.310001,51.810001,52.900002,52.900002,27000
2010-02-16,53.000000,53.299999,52.070000,52.169998,52.169998,31100
2010-02-17,52.169998,52.369999,51.740002,52.189999,52.189999,30600
2010-02-18,51.880001,51.939999,50.330002,50.529999,50.529999,22000
2010-02-19,49.610001,49.790001,49.220001,49.580002,49.580002,50100
2010-02-22,48.709999,48.709999,47.910000,48.639999,48.639999,37800
2010-02-23,48.020000,48.180000,47.689999,47.849998,47.849998,4000
2010-02-24,48.459999,48.509998,48.000000,48.150002,48.150002,3900
2010-02-25,47.580002,47.689999,47.259998,47.610001,47.610001,4300
2010-02-26,48.160000,48.160000,47.549999,47.799999,47.799999,12600
2010-03-01,48.070000,48.380001,46.860001,46.860001,46.860001,23700
2010-03-02,47.119999,47.330002,46.700001,47.029999,47.029999,8400
2010-03-03,47.310001,47.540001,47.139999,47.349998,47.349998,32900
2010-03-04,47.270000,47.270000,45.700001,45.849998,45.849998,35200
2010-03-05,45.959999,46.070000,45.770000,46.000000,46.000000,16800
2010-03-08,45.209999,45.560001,45.000000,45.560001,45.560001,2600
2010-03-09,45.759998,45.790001,44.919998,45.200001,45.200001,14900
2010-03-10,44.910000,45.740002,44.689999,45.700001,45.700001,66200
2010-03-11,45.150002,45.360001,44.500000,44.759998,44.759998,17600
2010-03-12,44.689999,44.770000,44.310001,44.310001,44.310001,19900
2010-03-15,44.430000,44.740002,44.150002,44.660000,44.660000,18700
2010-03-16,44.270000,44.270000,43.889999,44.169998,44.169998,34700
2010-03-17,43.770000,43.849998,43.509998,43.650002,43.650002,12300
2010-03-18,43.459999,43.549999,42.000000,42.430000,42.430000,43600
2010-03-19,43.090000,43.119999,42.290001,43.090000,43.090000,21100
2010-03-22,42.299999,42.790001,42.169998,42.290001,42.290001,23200
2010-03-23,42.049999,42.450001,41.950001,42.380001,42.380001,15500
2010-03-24,41.740002,42.160000,41.730000,41.849998,41.849998,15000
2010-03-25,41.560001,41.560001,40.720001,40.980000,40.980000,39800
2010-03-26,40.939999,40.990002,40.180000,40.299999,40.299999,27500
2010-03-29,40.549999,40.959999,40.200001,40.439999,40.439999,44500
2010-03-30,39.939999,41.070000,39.939999,41.070000,41.070000,15400
2010-03-31,41.259998,41.310001,40.500000,40.590000,40.590000,29900
2010-04-01,40.450001,42.299999,40.220001,42.080002,42.080002,35500
2010-04-05,42.060001,43.770000,42.060001,43.709999,43.709999,70800
2010-04-06,43.380001,43.700001,41.939999,42.470001,42.470001,25600
2010-04-07,42.150002,42.150002,41.529999,41.590000,41.590000,15700
2010-04-08,41.380001,41.380001,40.049999,40.889999,40.889999,25900
2010-04-09,41.150002,42.250000,41.150002,42.119999,42.119999,28200
2010-04-12,41.990002,42.750000,41.009998,41.549999,41.549999,26700
2010-04-13,41.580002,42.389999,41.230000,42.279999,42.279999,17600
2010-04-14,42.540001,43.099998,42.340000,42.660000,42.660000,78400
2010-04-15,42.430000,42.680000,40.950001,41.250000,41.250000,203500
2010-04-16,41.230000,41.840000,40.939999,41.520000,41.520000,146900
2010-04-19,41.500000,41.650002,40.599998,40.990002,40.990002,189200
2010-04-20,40.869999,41.560001,40.610001,41.509998,41.509998,20900
2010-04-21,41.389999,41.869999,41.240002,41.490002,41.490002,24600
2010-04-22,41.270000,42.459999,40.799999,42.450001,42.450001,20900
2010-04-23,42.220001,43.750000,42.220001,43.500000,43.500000,29900
2010-04-26,43.490002,43.840000,42.930000,43.400002,43.400002,34200
2010-04-27,43.330002,43.730000,43.259998,43.459999,43.459999,13200
2010-04-28,43.720001,44.799999,43.500000,43.650002,43.650002,24700
2010-04-29,43.349998,43.349998,41.090000,41.290001,41.290001,31900
2010-04-30,41.090000,41.090000,40.360001,40.689999,40.689999,27200
2010-05-03,40.619999,41.340000,40.619999,41.230000,41.230000,15200
2010-05-04,41.200001,41.650002,40.990002,41.650002,41.650002,29200
2010-05-05,41.599998,41.599998,41.000000,41.470001,41.470001,8300
2010-05-06,41.400002,41.400002,40.490002,40.959999,40.959999,17300
2010-05-07,41.230000,41.700001,40.730000,41.520000,41.520000,14000
2010-05-10,42.459999,43.000000,42.250000,42.810001,42.810001,17300
2010-05-11,42.509998,43.090000,42.509998,42.700001,42.700001,8700
2010-05-12,43.150002,43.639999,42.970001,43.619999,43.619999,8300
2010-05-13,43.340000,44.070000,43.029999,43.320000,43.320000,19000
2010-05-14,43.200001,43.200001,42.520000,42.950001,42.950001,5500
2010-05-17,43.130001,43.330002,42.779999,43.169998,43.169998,8400
2010-05-18,43.490002,43.570000,42.500000,42.520000,42.520000,35500
2010-05-19,42.209999,42.209999,41.139999,41.299999,41.299999,35000
2010-05-20,40.820000,41.400002,40.470001,41.009998,41.009998,19800
2010-05-21,40.849998,41.279999,40.259998,40.410000,40.410000,24800
2010-05-24,40.250000,40.250000,39.830002,40.130001,40.130001,21300
2010-05-25,39.950001,40.540001,39.680000,40.480000,40.480000,39900
2010-05-26,40.959999,41.669998,40.660000,40.669998,40.669998,12900
2010-05-27,41.189999,41.680000,40.720001,41.630001,41.630001,17500
2010-05-28,41.820000,42.040001,41.470001,41.820000,41.820000,19400
2010-06-01,42.310001,42.310001,40.880001,40.880001,40.880001,7700
2010-06-02,41.209999,42.209999,41.209999,42.209999,42.209999,25300
2010-06-03,42.099998,43.650002,42.060001,43.590000,43.590000,79800
2010-06-04,43.520000,44.860001,43.400002,43.830002,43.830002,62900
2010-06-07,44.220001,45.040001,44.029999,44.980000,44.980000,37900
2010-06-08,44.810001,45.150002,43.790001,44.169998,44.169998,43600
2010-06-09,44.070000,44.070000,43.549999,43.660000,43.660000,5400
2010-06-10,43.959999,44.509998,43.259998,43.560001,43.560001,13100
2010-06-11,43.990002,44.160000,43.619999,44.060001,44.060001,9000
2010-06-14,44.439999,45.150002,44.430000,45.150002,45.150002,17800
2010-06-15,45.490002,45.950001,45.290001,45.880001,45.880001,19600
2010-06-16,45.580002,45.580002,44.849998,45.020000,45.020000,27500
2010-06-17,45.560001,45.820000,44.889999,45.820000,45.820000,10400
2010-06-18,45.590000,45.689999,44.860001,45.169998,45.169998,4200
2010-06-21,45.869999,45.880001,43.799999,43.939999,43.939999,11100
2010-06-22,43.849998,43.849998,43.020000,43.660000,43.660000,33700
2010-06-23,43.889999,44.250000,43.889999,44.000000,44.000000,12100
2010-06-24,44.209999,44.430000,43.619999,43.840000,43.840000,10600
2010-06-25,44.160000,44.610001,44.130001,44.610001,44.610001,9300
2010-06-28,43.779999,43.910000,43.450001,43.480000,43.480000,1700
2010-06-29,42.860001,42.889999,41.959999,42.200001,42.200001,9000
2010-06-30,41.959999,42.369999,41.849998,42.189999,42.189999,8400
2010-07-01,42.299999,43.930000,42.000000,43.220001,43.220001,20000
2010-07-02,42.900002,43.060001,42.169998,42.570000,42.570000,12100
2010-07-06,43.540001,43.770000,42.660000,42.669998,42.669998,11800
2010-07-07,43.299999,43.299999,42.290001,42.470001,42.470001,6100
2010-07-08,42.310001,42.310001,41.000000,41.580002,41.580002,9400
2010-07-09,41.419998,41.759998,41.320000,41.630001,41.630001,2600
2010-07-12,41.540001,41.610001,41.360001,41.509998,41.509998,6400
2010-07-13,41.529999,41.660000,40.880001,41.020000,41.020000,22000
2010-07-14,40.700001,40.770000,40.389999,40.470001,40.470001,6500
2010-07-15,40.099998,41.650002,40.060001,41.610001,41.610001,70000
2010-07-16,41.320000,41.380001,40.779999,40.950001,40.950001,25000
2010-07-19,41.029999,41.029999,40.740002,40.910000,40.910000,2400
2010-07-20,40.919998,41.310001,40.459999,41.230000,41.230000,5200
2010-07-21,41.410000,41.410000,40.849998,41.099998,41.099998,5700
2010-07-22,41.810001,41.810001,41.380001,41.459999,41.459999,9900
2010-07-23,41.119999,41.660000,40.990002,40.990002,40.990002,12000
2010-07-26,40.799999,41.349998,40.740002,41.110001,41.110001,10100
2010-07-27,41.430000,41.430000,41.040001,41.299999,41.299999,10000
2010-07-28,41.970001,42.099998,41.250000,41.250000,41.250000,11200
