Date,Open,High,Low,Close,Adj Close,Volume
2010-11-05,103.440002,103.440002,99.480003,103.260002,84.785690,48200
2010-11-08,104.699997,114.779999,103.919998,114.779999,94.244621,255000
2010-11-09,116.160004,119.519997,109.800003,111.000000,91.140915,334900
2010-11-10,111.959999,113.099998,108.000000,112.739998,92.569603,121900
2010-11-11,114.000000,114.120003,111.120003,113.699997,93.357849,111700
2010-11-12,111.239998,111.540001,106.139999,108.839996,89.367363,59000
2010-11-15,112.680000,112.680000,106.559998,107.099998,87.938660,26100
2010-11-16,105.000000,105.000000,97.739998,99.180000,81.435638,124200
2010-11-17,99.720001,101.760002,98.400002,101.760002,83.554062,46500
2010-11-18,105.839996,106.860001,105.300003,106.080002,87.101158,43200
2010-11-19,106.019997,106.800003,103.559998,106.379997,87.347473,24400
2010-11-22,107.400002,107.400002,105.000000,106.620003,87.544540,23100
2010-11-23,105.360001,106.019997,103.500000,105.959999,87.002625,32500
2010-11-24,107.940002,111.839996,107.940002,111.419998,91.485771,95600
2010-11-26,114.180000,116.279999,112.980003,115.680000,94.983604,91000
2010-11-29,117.000000,117.000000,113.459999,116.279999,95.476250,76400
2010-11-30,116.040001,116.940002,114.660004,115.739998,95.032875,79900
2010-12-01,118.199997,120.360001,117.000000,119.699997,98.284393,67600
2010-12-02,120.480003,121.620003,119.879997,120.239998,98.727768,98800
2010-12-03,121.320000,121.320000,119.220001,120.059998,98.579971,39300
2010-12-06,120.419998,121.139999,119.339996,120.900002,99.269699,63800
2010-12-07,124.440002,124.440002,120.480003,121.139999,99.466751,106200
2010-12-08,121.320000,121.320000,117.300003,117.599998,96.560097,77400
2010-12-09,117.900002,120.000000,117.599998,118.800003,97.545410,43800
2010-12-10,119.160004,119.160004,115.739998,118.860001,97.594673,38000
2010-12-13,120.839996,120.959999,118.800003,119.099998,97.791733,34000
2010-12-14,120.239998,120.239998,116.400002,117.120003,96.165977,34600
2010-12-15,117.540001,118.019997,115.260002,115.379997,94.737289,27500
2010-12-16,116.400002,117.839996,116.040001,117.000000,96.067444,24100
2010-12-17,118.139999,118.139999,115.739998,117.540001,96.510841,30500
2010-12-20,118.500000,119.279999,117.900002,118.980003,97.693207,28000
2010-12-21,119.279999,119.699997,118.800003,119.400002,98.038071,45100
2010-12-22,120.000000,120.300003,119.220001,119.279999,97.939522,22800
2010-12-23,119.940002,119.940002,118.620003,119.279999,97.939522,17600
2010-12-27,118.800003,118.980003,118.139999,118.919998,97.643929,9600
2010-12-28,119.279999,120.900002,119.040001,120.540001,98.974106,31000
2010-12-29,119.040001,121.440002,118.320000,120.660004,101.028847,54700
2010-12-30,121.559998,122.040001,120.000000,121.320000,101.581467,44100
2010-12-31,121.500000,123.239998,121.199997,122.820000,102.837418,22200
2011-01-03,124.980003,125.820000,123.900002,125.160004,104.796707,63800
2011-01-04,125.040001,125.459999,119.459999,121.860001,102.033600,62200
2011-01-05,119.879997,120.120003,118.680000,119.760002,100.275269,25900
2011-01-06,119.820000,119.820000,116.699997,116.879997,97.863838,26000
2011-01-07,117.900002,117.900002,114.239998,116.040001,97.160515,25400
2011-01-10,114.779999,116.940002,113.639999,116.699997,97.713127,19000
2011-01-11,117.059998,118.980003,117.059998,118.019997,98.818359,84400
2011-01-12,123.059998,123.300003,120.900002,123.300003,103.239319,72100
2011-01-13,124.199997,125.400002,122.519997,123.959999,103.791946,38000
2011-01-14,123.300003,124.139999,122.099998,124.019997,103.842171,22500
2011-01-18,124.440002,128.039993,124.440002,127.800003,107.007187,65400
2011-01-19,130.020004,131.339996,124.980003,125.459999,105.047890,57600
2011-01-20,123.599998,123.660004,120.599998,122.339996,102.435516,76900
2011-01-21,123.959999,124.080002,121.919998,121.980003,102.134087,55900
2011-01-24,121.680000,123.180000,120.900002,122.879997,102.887650,35200
